name,variables,records,size_in_mb
ia1992kr,5357,48959,357
ia1992br,5142,275172,1889
ia1992pr,250,514827,286
ia1998ir,5220,90303,670
ia1998kr,5924,33026,278
ia1998br,5683,268879,2137
ia1998pr,308,517379,339
ia2005ir,9408,124385,1840
ia2005mr,4366,10000,75
ia2005kr,10238,51555,818
ia2005br,9903,256782,3933
ia2005pr,628,534161,727
ia2015ir,6574,699686,6627
ia2015kr,4116,259627,1618
ia2015br,3765,1315617,7383
ia2015mr,966,112122,149
ia2015pr,666,2869043,3911
zw1988br,2561,12405,48
zw1988ir,2427,4201,16
zw1988kr,2682,3358,14
zw1994pr,166,30188,13
zw1994br,4532,16777,112
zw1994ir,4410,6128,40
zw1994mr,1344,10000,17
zw1994kr,4742,2438,17
zw1999pr,622,28523,75
zw1999br,6175,14184,149
zw1999ir,5936,5907,61
zw1999mr,1955,10000,28
zw1999kr,6470,3643,40
zw2005pr,913,42698,129
zw2005br,9481,19489,288
zw2005ir,9113,8907,128
zw2005mr,3610,10000,51
zw2005kr,9831,5246,80
zw2010pr,882,41946,127
zw2010br,8888,19279,272
zw2010ir,8544,9171,126
zw2010mr,3063,10000,47
zw2010kr,9191,5563,81
zw2015pr,651,43706,60
zw2015ir,9910,9955,147
zw2015kr,10787,6132,97
zw2015br,10508,20791,319
zw2015mr,4302,10000,68
ng1990ir,4522,8781,66
ng1990kr,4787,7902,62
ng1990br,4592,28123,210
ng1990pr,364,47847,84
ng1999pr,187,38558,18
ng1999ir,5569,9810,77
ng1999mr,1977,2680,7
ng1999kr,6064,3552,30
ng1999br,5806,23277,189
ng2003ir,8093,7620,94
ng2003mr,3647,10000,48
ng2003kr,8763,6029,79
ng2003br,8391,23038,290
ng2003pr,707,35820,98
ng2008ir,10466,33385,537
ng2008mr,5212,10000,72
ng2008kr,11117,28647,484
ng2008br,10796,104808,1713
ng2008pr,868,156809,461
ng2013ir,10265,38948,611
ng2013mr,4636,10000,63
ng2013kr,10914,31482,519
ng2013br,10627,119386,1907
ng2013pr,894,178894,527
bj1996ir,5143,5491,45
bj1996mr,1522,1535,3
bj1996kr,5469,3011,26
bj1996br,5239,19359,161
bj1996pr,420,27892,52
bj2001ir,7072,6219,73
bj2001mr,2892,2709,11
bj2001kr,7719,5349,67
bj2001br,7369,19398,232
bj2001pr,640,30417,80
bj2006ir,10204,17794,257
bj2006mr,4812,5321,36
bj2006kr,11109,16075,249
bj2006br,10787,57232,857
bj2006pr,704,90650,119
bj2011mr,4489,5180,34
bj2011ir,9655,16599,256
bj2011kr,10434,13407,221
bj2011br,10132,47152,750
bj2011pr,885,88174,263
et2000ir,6174,15367,166
et2000mr,2049,10000,30
et2000kr,6803,10873,126
et2000br,6517,44174,489
et2000pr,671,68642,184
et2005ir,8461,14070,192
et2005mr,3079,10000,41
et2005kr,9337,9861,149
et2005br,9026,39881,584
et2005pr,791,67540,194
et2011ir,7511,16515,201
et2011mr,2963,10000,54
et2011kr,8126,11654,151
et2011br,7809,45540,566
et2011pr,523,77744,91
et2016ir,8948,15683,211
et2016kr,9835,10641,155
et2016br,9596,41392,586
et2016mr,2506,12688,55
et2016pr,540,75224,90
ls2004ir,7878,7095,85
ls2004mr,3025,2797,11
