name,variables,records,size_in_mb
cps2006_04b,927,208207,291
cps2006_05s,1142,207878,358
cps2006_08s,1142,209277,361
cps2006_06s,942,207727,306
cps2006_07b,925,208325,291
cps2006_09s,1041,208271,340
cps2006_10s,996,208169,319
cps2006_11s,947,208085,306
cps2006_12s,1151,207433,338
cps2007_03b,959,206064,297
cps2007_03s,1879,304654,1367
cps2007_02b,953,206386,293
cps2007_01s,1172,206341,361
cps2007_08s,1059,206810,326
cps2007_04b,956,208191,298
cps2007_12s,1184,205391,336
cps2007_05b,954,208941,299
cps2007_06b,954,208142,297
cps2007_07b,954,207232,296
cps2007_09s,1076,206491,342
cps2007_10s,1040,205650,324
cps2007_11b,954,205887,294
cps2008_03b,959,205129,296
cps2008_03s,2178,303906,1488
cps2008_02b,954,206173,294
cps2008_01s,1076,205948,341
cps2008_05s,1143,206773,350
cps2008_06s,996,206804,307
cps2008_08s,1098,206190,337
cps2008_09s,1101,205012,338
cps2008_10s,1050,204878,317
cps2008_04b,956,206509,295
cps2008_07b,980,206407,299
cps2008_11s,1065,204258,325
cps2008_12s,1220,202502,337
cps2009_03b,992,206338,307
cps2009_03s,1901,304987,1381
cps2009_09s,1108,206707,345
cps2009_08s,1093,207176,336
cps2009_11s,1017,207210,317
cps2009_01s,1253,205533,423
cps2009_02b,987,206363,303
cps2009_04b,989,208405,307
cps2009_05b,987,207978,306
cps2009_06b,987,207789,305
cps2009_07b,987,207227,304
cps2009_10s,1076,206570,328
cps2009_12s,1218,206233,344
cps2010_03b,613,207167,197
cps2010_03s,2474,307065,1941
cps2010_08s,1316,207698,736
cps2010_05s,1313,208309,738
cps2010_06s,624,207777,201
cps2010_07s,717,207779,225
cps2010_09s,729,206966,234
cps2010_10s,903,206997,416
cps2010_12s,993,206280,334
cps2010_11s,661,206128,211
cps2010_01s,730,207102,240
cps2010_02b,608,207981,194
cps2010_04b,610,208938,195
cps2011_05s,911,206526,280
cps2011_01s,1309,206072,725
cps2011_02b,599,205048,186
cps2011_03b,612,204002,193
